time,value,signalMask,labelMask,finalLabel
263.063300,-0.009918,0,0,0
263.063400,-0.000763,0,0,0
263.063500,-0.001068,0,0,0
263.063600,0.004730,0,0,0
263.063700,0.009460,0,0,0
263.063800,0.013733,0,0,0
263.063900,0.024261,0,0,0
263.064000,0.033569,0,0,0
263.064100,0.040283,0,0,0
263.064200,0.050201,0,0,0
263.064300,0.055542,0,0,0
263.064400,0.059204,0,0,0
263.064500,0.061646,0,0,0
263.064600,0.047913,0,0,0
263.064700,0.040131,0,0,0
263.064800,0.032959,0,0,0
263.064900,0.021210,0,0,0
263.065000,0.016785,0,0,0
263.065100,0.013885,0,0,0
263.065200,0.017090,0,0,0
263.065300,0.018921,0,0,0
263.065400,0.022430,0,0,0
263.065500,0.023956,0,0,0
263.065600,0.023956,0,0,0
263.065700,0.017395,0,0,0
263.065800,0.016022,0,0,0
263.065900,0.014191,0,0,0
263.066000,0.013275,0,0,0
263.066100,0.015869,0,0,0
263.066200,0.022278,0,0,0
263.066300,0.020905,-1,0,-1
263.066400,0.025177,-1,0,-1
263.066500,0.034485,-1,0,-1
263.066600,0.037537,-1,0,-1
263.066700,0.045624,-1,0,-1
263.066800,0.064697,-1,0,-1
263.066900,0.149994,-1,0,-1
263.067000,0.389557,-1,0,-1
263.067100,0.859680,-1,0,-1
263.067200,1.517792,-1,0,-1
263.067300,1.959534,-1,0,-1
263.067400,2.168884,-1,0,-1
263.067500,2.214966,-1,0,-1
263.067600,1.768188,-1,0,-1
263.067700,0.771790,-1,0,-1
263.067800,-0.428467,-1,0,-1
263.067900,-1.489410,-1,0,-1
263.068000,-2.033691,-1,0,-1
263.068100,-2.147827,-1,0,-1
263.068200,-2.124786,-1,0,-1
263.068300,-1.840057,-1,0,-1
263.068400,-1.274719,-1,0,-1
263.068500,-0.702972,-1,0,-1
263.068600,-0.150299,-1,0,-1
263.068700,0.450745,-1,0,-1
263.068800,1.153870,-1,0,-1
263.068900,1.828156,-1,0,-1
263.069000,2.236176,-1,0,-1
263.069100,2.337341,-1,0,-1
263.069200,2.072296,-1,0,-1
263.069300,1.246033,-1,0,-1
263.069400,-0.029449,-1,0,-1
263.069500,-1.118927,-1,0,-1
263.069600,-1.986084,-1,0,-1
