time,value,signalMask,labelMask,finalLabel
456.599300,0.390167,0,0,0
456.599400,0.296631,0,0,0
456.599500,0.183105,0,0,0
456.599600,0.067444,0,0,0
456.599700,-0.059662,0,0,0
456.599800,-0.179443,0,0,0
456.599900,-0.288544,0,0,0
456.600000,-0.373230,0,0,0
456.600100,-0.427246,0,0,0
456.600200,-0.473328,0,0,0
456.600300,-0.454254,0,0,0
456.600400,-0.350342,0,0,0
456.600500,-0.229645,0,0,0
456.600600,-0.123596,0,0,0
456.600700,-0.062866,0,0,0
456.600800,-0.036621,0,0,0
456.600900,-0.034790,0,0,0
456.601000,-0.033569,0,0,0
456.601100,-0.031433,0,0,0
456.601200,-0.031433,0,0,0
456.601300,-0.029755,0,0,0
456.601400,-0.017548,0,0,0
456.601500,-0.010376,0,0,0
456.601600,-0.006866,0,0,0
456.601700,-0.007019,0,0,0
456.601800,-0.005493,0,0,0
456.601900,-0.001831,0,0,0
456.602000,-0.009003,0,0,0
456.602100,-0.016785,0,0,0
456.602200,-0.027008,0,0,0
456.602300,-0.031281,0,0,0
456.602400,-0.035095,0,0,0
456.602500,-0.039062,0,0,0
456.602600,-0.033417,0,0,0
456.602700,-0.034332,0,0,0
456.602800,-0.032349,0,0,0
456.602900,-0.026245,0,0,0
456.603000,-0.024872,0,0,0
456.603100,-0.016937,0,0,0
456.603200,-0.012512,0,0,0
456.603300,-0.013885,0,0,0
456.603400,-0.017395,0,0,0
456.603500,-0.022583,0,0,0
456.603600,-0.018921,0,0,0
456.603700,-0.013123,0,0,0
456.603800,-0.016327,0,0,0
456.603900,-0.005646,0,0,0
456.604000,-0.014496,0,0,0
456.604100,-0.014954,0,0,0
456.604200,-0.026398,0,0,0
456.604300,-0.038300,0,0,0
456.604400,-0.056458,0,0,0
456.604500,-0.061035,0,0,0
456.604600,-0.070801,0,0,0
456.604700,-0.064697,0,0,0
456.604800,-0.058899,0,0,0
456.604900,-0.041199,0,0,0
456.605000,-0.018921,0,0,0
456.605100,-0.011139,0,0,0
456.605200,-0.010376,0,0,0
456.605300,-0.022278,0,0,0
456.605400,-0.035706,0,0,0
456.605500,-0.050507,0,0,0
456.605600,-0.059509,0,0,0
456.605700,-0.061646,0,0,0
456.605800,-0.063324,0,0,0
456.605900,-0.057831,0,0,0
456.606000,-0.052185,0,0,0
456.606100,-0.040131,0,0,0
456.606200,-0.030975,0,0,0
456.606300,-0.036621,-1,0,-1
456.606400,-0.033875,-1,0,-1
456.606500,-0.027161,-1,0,-1
456.606600,0.012512,-1,0,-1
456.606700,0.106201,-1,0,-1
456.606800,0.286407,-1,0,-1
456.606900,0.556946,-1,0,-1
456.607000,0.811615,-1,0,-1
456.607100,0.986176,-1,0,-1
456.607200,1.102142,-1,0,-1
456.607300,1.141815,-1,0,-1
456.607400,1.085358,-1,0,-1
456.607500,1.028748,-1,0,-1
456.607600,0.824585,-1,0,-1
456.607700,0.551300,-1,0,-1
456.607800,0.377197,-1,0,-1
456.607900,0.108185,-1,0,-1
456.608000,-0.436249,-1,0,-1
456.608100,-0.996094,-1,0,-1
456.608200,-1.618958,-1,0,-1
456.608300,-1.868896,-1,0,-1
456.608400,-1.771088,-1,0,-1
456.608500,-1.601868,-1,0,-1
456.608600,-1.408997,-1,0,-1
456.608700,-1.099091,-1,0,-1
456.608800,-0.541382,-1,0,-1
456.608900,-0.251770,-1,0,-1
456.609000,-0.087128,-1,0,-1
456.609100,-0.032043,-1,0,-1
456.609200,-0.018005,-1,0,-1
456.609300,-0.014801,-1,0,-1
456.609400,-0.019531,0,0,0
456.609500,-0.016022,0,0,0
456.609600,-0.020447,-1,2,1
456.609700,-0.012054,-1,2,1
456.609800,0.011139,-1,2,1
456.609900,0.093994,-1,2,1
456.610000,0.302887,-1,2,1
456.610100,0.653229,-1,2,1
456.610200,0.962982,-1,2,1
456.610300,1.083069,-1,2,1
456.610400,1.041870,-1,2,1
456.610500,0.716858,-1,2,1
456.610600,0.157471,-1,2,1
456.610700,-0.402985,-1,2,1
456.610800,-0.858154,-1,2,1
456.610900,-1.081848,-1,2,1
456.611000,-1.092377,-1,2,1
456.611100,-0.949402,-1,2,1
456.611200,-0.626526,-1,2,1
456.611300,-0.329895,-1,2,1
456.611400,-0.136566,-1,2,1
456.611500,-0.053864,-1,2,1
456.611600,-0.023956,-1,2,1
456.611700,-0.011749,-1,2,1
456.611800,-0.003815,-1,2,1
456.611900,-0.001068,-1,2,1
456.612000,-0.007172,0,0,0
456.612100,-0.009155,0,0,0
456.612200,-0.012970,0,0,0
456.612300,-0.009613,0,0,0
456.612400,-0.010071,0,0,0
456.612500,-0.009155,0,0,0
456.612600,-0.007935,0,0,0
456.612700,-0.005341,0,0,0
456.612800,0.000000,0,0,0
456.612900,0.003357,0,0,0
456.613000,0.005493,0,0,0
456.613100,0.007935,0,0,0
456.613200,0.004883,0,0,0
456.613300,0.006104,0,0,0
456.613400,0.020599,0,0,0
456.613500,0.026398,0,0,0
456.613600,0.021667,0,0,0
456.613700,0.019073,0,0,0
456.613800,0.019836,0,0,0
456.613900,0.009918,0,0,0
456.614000,-0.016785,0,0,0
456.614100,-0.037384,0,0,0
456.614200,-0.046692,-1,0,-1
456.614300,-0.034790,-1,0,-1
456.614400,-0.021362,-1,0,-1
456.614500,0.000763,-1,0,-1
456.614600,0.041504,-1,0,-1
456.614700,0.111084,-1,0,-1
456.614800,0.155487,-1,0,-1
456.614900,0.149536,-1,0,-1
456.615000,0.147858,-1,0,-1
456.615100,0.138702,-1,0,-1
456.615200,0.071106,-1,0,-1
456.615300,-0.045319,-1,0,-1
456.615400,-0.166626,-1,0,-1
456.615500,-0.242767,-1,0,-1
456.615600,-0.258789,-1,0,-1
456.615700,-0.248413,-1,0,-1
456.615800,-0.252228,0,0,0
456.615900,-0.233307,0,0,0
456.616000,-0.172424,0,0,0
456.616100,-0.110626,0,0,0
456.616200,-0.072784,0,0,0
456.616300,-0.047302,0,0,0
456.616400,-0.036163,0,0,0
456.616500,-0.021820,0,0,0
456.616600,-0.010529,0,0,0
456.616700,-0.009918,0,0,0
456.616800,-0.006866,0,0,0
456.616900,-0.004578,0,0,0
456.617000,0.002441,0,0,0
456.617100,0.001526,0,0,0
456.617200,0.003510,0,0,0
456.617300,0.002136,0,0,0
456.617400,-0.001221,0,0,0
456.617500,-0.007935,0,0,0
456.617600,-0.019836,0,0,0
456.617700,-0.028839,0,0,0
456.617800,-0.035095,0,0,0
456.617900,-0.046082,0,0,0
456.618000,-0.048828,0,0,0
456.618100,-0.052185,-1,0,-1
456.618200,-0.040436,-1,0,-1
456.618300,-0.012817,-1,0,-1
456.618400,0.038147,-1,0,-1
456.618500,0.086823,-1,0,-1
456.618600,0.106659,-1,0,-1
456.618700,0.103149,-1,0,-1
456.618800,0.060120,-1,0,-1
456.618900,-0.017700,-1,0,-1
456.619000,-0.100098,-1,0,-1
456.619100,-0.156097,-1,0,-1
456.619200,-0.183716,-1,0,-1
456.619300,-0.194702,-1,0,-1
456.619400,-0.163879,-1,0,-1
456.619500,-0.110474,-1,0,-1
456.619600,-0.069885,-1,0,-1
456.619700,-0.042725,-1,0,-1
456.619800,-0.031433,-1,0,-1
456.619900,-0.019379,-1,0,-1
456.620000,-0.017700,-1,0,-1
456.620100,-0.018311,0,0,0
456.620200,-0.013580,0,0,0
456.620300,-0.024872,0,0,0
456.620400,-0.027924,0,0,0
456.620500,-0.034027,0,0,0
456.620600,-0.037231,0,0,0
456.620700,-0.046082,0,0,0
456.620800,-0.047760,0,0,0
456.620900,-0.043335,0,0,0
456.621000,-0.038910,0,0,0
456.621100,-0.039520,0,0,0
456.621200,-0.032349,0,0,0
456.621300,-0.022888,0,0,0
456.621400,-0.023346,0,0,0
456.621500,-0.030670,0,0,0
456.621600,-0.032349,0,0,0
456.621700,-0.030518,0,0,0
456.621800,-0.031891,0,0,0
456.621900,-0.032806,0,0,0
456.622000,-0.028381,0,0,0
456.622100,-0.032196,0,0,0
456.622200,-0.029449,0,0,0
456.622300,-0.021820,0,0,0
456.622400,-0.021210,0,0,0
456.622500,-0.027618,0,0,0
456.622600,-0.029907,0,0,0
456.622700,-0.031281,0,0,0
456.622800,-0.029449,0,0,0
