time,value,signalMask,labelMask,finalLabel
221.744900,0.046692,0,0,0
221.745000,0.048370,-1,0,-1
221.745100,0.077820,-1,0,-1
221.745200,0.152740,-1,0,-1
221.745300,0.275116,-1,0,-1
221.745400,0.431366,-1,0,-1
221.745500,0.563354,-1,0,-1
221.745600,0.622559,-1,0,-1
221.745700,0.615997,-1,0,-1
221.745800,0.525513,-1,0,-1
221.745900,0.328217,-1,0,-1
221.746000,0.046082,-1,0,-1
221.746100,-0.240021,-1,0,-1
221.746200,-0.456848,-1,0,-1
221.746300,-0.563354,-1,0,-1
221.746400,-0.587616,-1,0,-1
221.746500,-0.527649,-1,0,-1
221.746600,-0.382080,-1,0,-1
221.746700,-0.199432,-1,0,-1
221.746800,-0.040588,-1,0,-1
221.746900,0.061340,-1,0,-1
221.747000,0.105286,-1,0,-1
221.747100,0.112000,-1,0,-1
221.747200,0.085907,-1,0,-1
221.747300,0.061951,-1,0,-1
221.747400,0.033875,-1,0,-1
221.747500,0.003510,-1,0,-1
221.747600,-0.011444,-1,0,-1
221.747700,-0.022736,-1,0,-1
221.747800,-0.019684,-1,0,-1
221.747900,-0.004120,-1,0,-1
221.748000,0.018158,-1,0,-1
221.748100,0.043488,-1,0,-1
221.748200,0.055542,-1,0,-1
221.748300,0.051575,-1,0,-1
221.748400,0.040588,-1,0,-1
221.748500,0.039978,-1,0,-1
221.748600,0.050812,-1,0,-1
221.748700,0.056915,-1,0,-1
221.748800,0.056152,-1,0,-1
221.748900,0.047302,-1,0,-1
221.749000,0.048065,-1,0,-1
221.749100,0.052338,-1,0,-1
221.749200,0.062256,-1,0,-1
221.749300,0.070648,-1,0,-1
221.749400,0.068359,-1,0,-1
221.749500,0.081635,-1,0,-1
221.749600,0.093079,-1,0,-1
221.749700,0.096893,-1,0,-1
221.749800,0.090179,-1,0,-1
221.749900,0.083771,-1,0,-1
221.750000,0.086823,-1,0,-1
221.750100,0.075226,-1,0,-1
221.750200,0.058136,-1,0,-1
221.750300,0.042725,-1,0,-1
221.750400,0.031738,-1,0,-1
221.750500,0.019226,-1,0,-1
221.750600,0.020294,-1,0,-1
221.750700,0.022430,-1,0,-1
221.750800,0.023193,-1,0,-1
221.750900,0.024261,-1,0,-1
221.751000,0.027618,-1,0,-1
221.751100,0.031128,-1,0,-1
221.751200,0.039673,-1,0,-1
221.751300,0.038757,-1,0,-1
221.751400,0.040131,-1,0,-1
221.751500,0.041962,-1,0,-1
221.751600,0.040283,-1,0,-1
221.751700,0.051117,-1,0,-1
221.751800,0.057831,-1,0,-1
221.751900,0.063019,-1,0,-1
221.752000,0.061493,-1,0,-1
221.752100,0.065918,-1,0,-1
221.752200,0.067596,-1,0,-1
221.752300,0.062866,-1,0,-1
221.752400,0.067291,-1,0,-1
221.752500,0.068665,-1,0,-1
221.752600,0.065002,-1,0,-1
221.752700,0.062103,-1,0,-1
221.752800,0.056763,-1,0,-1
221.752900,0.052032,-1,0,-1
221.753000,0.048828,-1,0,-1
221.753100,0.048828,-1,0,-1
221.753200,0.043945,-1,0,-1
221.753300,0.050201,-1,0,-1
221.753400,0.044556,-1,0,-1
221.753500,0.046844,-1,0,-1
221.753600,0.055389,-1,0,-1
221.753700,0.062561,-1,0,-1
221.753800,0.066071,-1,0,-1
221.753900,0.073090,-1,0,-1
221.754000,0.069885,-1,0,-1
221.754100,0.070801,-1,0,-1
221.754200,0.071411,-1,0,-1
221.754300,0.097961,-1,0,-1
221.754400,0.175629,-1,0,-1
221.754500,0.389709,-1,0,-1
221.754600,0.767822,-1,0,-1
221.754700,1.323700,-1,0,-1
221.754800,1.970062,-1,0,-1
221.754900,2.289734,-1,0,-1
221.755000,2.276154,-1,0,-1
221.755100,2.148132,-1,0,-1
221.755200,1.913300,-1,0,-1
221.755300,1.377716,-1,0,-1
221.755400,0.567474,-1,0,-1
221.755500,-0.307312,-1,0,-1
221.755600,-1.079712,-1,0,-1
221.755700,-1.867371,-1,0,-1
221.755800,-2.271729,-1,0,-1
221.755900,-2.369385,-1,0,-1
221.756000,-2.309875,-1,0,-1
221.756100,-2.100067,-1,0,-1
221.756200,-1.656494,-1,0,-1
221.756300,-1.205444,-1,0,-1
221.756400,-0.554199,-1,0,-1
221.756500,-0.173798,-1,0,-1
221.756600,0.084991,-1,0,-1
221.756700,0.277100,-1,0,-1
221.756800,0.435028,-1,0,-1
221.756900,0.547943,-1,0,-1
221.757000,0.575409,-1,0,-1
221.757100,0.531921,-1,0,-1
221.757200,0.419312,-1,0,-1
221.757300,0.257111,-1,0,-1
221.757400,0.063019,-1,0,-1
221.757500,-0.129547,-1,0,-1
221.757600,-0.289764,-1,0,-1
221.757700,-0.392456,-1,0,-1
221.757800,-0.435181,-1,0,-1
221.757900,-0.409851,-1,0,-1
221.758000,-0.318451,-1,0,-1
221.758100,-0.170898,-1,0,-1
221.758200,-0.038910,-1,0,-1
221.758300,0.044861,-1,0,-1
221.758400,0.087433,-1,0,-1
221.758500,0.095367,-1,0,-1
221.758600,0.091705,0,0,0
221.758700,0.078888,0,0,0
221.758800,0.068207,0,0,0
221.758900,0.049438,0,0,0
221.759000,0.038757,0,0,0
221.759100,0.037842,0,0,0
221.759200,0.040283,0,0,0
221.759300,0.046997,0,0,0
221.759400,0.059357,0,0,0
221.759500,0.077057,0,0,0
221.759600,0.085907,0,0,0
221.759700,0.083313,0,0,0
221.759800,0.080109,0,0,0
221.759900,0.079498,0,0,0
221.760000,0.076447,0,0,0
221.760100,0.079956,0,0,0
221.760200,0.083771,0,0,0
221.760300,0.083618,0,0,0
221.760400,0.083923,0,0,0
221.760500,0.086365,0,0,0
221.760600,0.087585,0,0,0
221.760700,0.082703,0,0,0
221.760800,0.087433,0,0,0
221.760900,0.091858,0,0,0
221.761000,0.097351,0,0,0
221.761100,0.102997,0,0,0
221.761200,0.104065,0,0,0
221.761300,0.101624,0,0,0
221.761400,0.100250,0,0,0
221.761500,0.092010,0,0,0
221.761600,0.090637,0,0,0
221.761700,0.089722,0,0,0
221.761800,0.080414,0,0,0
221.761900,0.078583,0,0,0
221.762000,0.064392,0,0,0
221.762100,0.055542,0,0,0
221.762200,0.056915,-1,2,1
221.762300,0.086517,-1,2,1
221.762400,0.174103,-1,2,1
221.762500,0.319519,-1,2,1
221.762600,0.554810,-1,2,1
221.762700,0.779572,-1,2,1
221.762800,0.848236,-1,2,1
221.762900,0.838928,-1,2,1
221.763000,0.809479,-1,2,1
221.763100,0.706482,-1,2,1
221.763200,0.434113,-1,2,1
221.763300,0.008850,-1,2,1
221.763400,-0.391998,-1,2,1
221.763500,-0.630493,-1,2,1
221.763600,-0.712891,-1,2,1
221.763700,-0.757294,-1,2,1
221.763800,-0.794983,-1,2,1
221.763900,-0.762634,-1,2,1
221.764000,-0.564728,-1,2,1
221.764100,-0.314178,-1,2,1
221.764200,-0.141754,-1,2,1
221.764300,-0.025024,-1,2,1
221.764400,0.025482,-1,2,1
221.764500,0.046692,-1,2,1
221.764600,0.064240,-1,2,1
221.764700,0.070343,-1,2,1
221.764800,0.068207,0,0,0
221.764900,0.071564,0,0,0
221.765000,0.074921,0,0,0
221.765100,0.065308,0,0,0
221.765200,0.063171,0,0,0
221.765300,0.061340,0,0,0
221.765400,0.060730,0,0,0
221.765500,0.059204,0,0,0
221.765600,0.060120,0,0,0
221.765700,0.061493,0,0,0
221.765800,0.065918,0,0,0
221.765900,0.074005,0,0,0
221.766000,0.079041,0,0,0
221.766100,0.081940,0,0,0
221.766200,0.086365,0,0,0
221.766300,0.093079,0,0,0
221.766400,0.095062,0,0,0
221.766500,0.106201,0,0,0
221.766600,0.105286,0,0,0
221.766700,0.113983,0,0,0
221.766800,0.109100,0,0,0
221.766900,0.105286,0,0,0
221.767000,0.093384,0,0,0
221.767100,0.074615,0,0,0
221.767200,0.058289,0,0,0
221.767300,0.047913,0,0,0
221.767400,0.043488,-1,2,1
221.767500,0.057373,-1,2,1
221.767600,0.101776,-1,2,1
221.767700,0.242004,-1,2,1
221.767800,0.508728,-1,2,1
221.767900,0.925598,-1,2,1
221.768000,1.503601,-1,2,1
221.768100,1.946411,-1,2,1
221.768200,2.049103,-1,2,1
221.768300,2.028198,-1,2,1
221.768400,1.954956,-1,2,1
221.768500,1.677246,-1,2,1
221.768600,1.035461,-1,2,1
221.768700,0.261078,-1,2,1
221.768800,-0.538940,-1,2,1
221.768900,-1.147156,-1,2,1
221.769000,-1.881714,-1,2,1
