time,value,signalMask,labelMask,finalLabel
126.359300,-0.027161,0,0,0
126.359400,-0.033569,0,0,0
126.359500,-0.032654,0,0,0
126.359600,-0.034027,0,0,0
126.359700,-0.035553,0,0,0
126.359800,-0.037842,-1,2,1
126.359900,-0.034943,-1,2,1
126.360000,-0.031738,-1,2,1
126.360100,-0.019989,-1,2,1
126.360200,-0.014954,-1,2,1
126.360300,-0.000916,-1,2,1
126.360400,0.013885,-1,2,1
126.360500,0.031128,-1,2,1
126.360600,0.053253,-1,2,1
126.360700,0.082550,-1,2,1
126.360800,0.105133,-1,2,1
126.360900,0.132904,-1,2,1
126.361000,0.156555,-1,2,1
126.361100,0.188751,-1,2,1
126.361200,0.224609,-1,2,1
126.361300,0.273132,-1,2,1
126.361400,0.331726,-1,2,1
126.361500,0.411224,-1,2,1
126.361600,0.488739,-1,2,1
126.361700,0.567627,-1,2,1
126.361800,0.641327,-1,2,1
126.361900,0.721741,-1,2,1
126.362000,0.807037,-1,2,1
126.362100,0.928955,-1,2,1
126.362200,1.070099,-1,2,1
126.362300,1.224060,-1,2,1
126.362400,1.329651,-1,2,1
126.362500,1.327362,-1,2,1
126.362600,1.254578,-1,2,1
126.362700,1.157837,-1,2,1
126.362800,1.067505,-1,2,1
126.362900,0.987701,-1,2,1
126.363000,0.918121,-1,2,1
126.363100,0.847168,-1,2,1
126.363200,0.708923,-1,2,1
126.363300,0.451355,-1,2,1
126.363400,0.087585,-1,2,1
126.363500,-0.323792,-1,2,1
126.363600,-0.688477,-1,2,1
126.363700,-1.054687,-1,2,1
126.363800,-1.455841,-1,2,1
126.363900,-1.726074,-1,2,1
126.364000,-1.837769,-1,2,1
126.364100,-1.824951,-1,2,1
126.364200,-1.719360,-1,2,1
126.364300,-1.599884,-1,2,1
126.364400,-1.484833,-1,2,1
126.364500,-1.406708,-1,2,1
126.364600,-1.350098,-1,2,1
126.364700,-1.284180,-1,2,1
126.364800,-1.205750,-1,2,1
126.364900,-0.977478,-1,2,1
126.365000,-0.740204,-1,2,1
126.365100,-0.536652,-1,2,1
126.365200,-0.362854,-1,2,1
126.365300,-0.227661,-1,2,1
126.365400,-0.121307,-1,2,1
126.365500,-0.040131,-1,2,1
126.365600,0.011597,-1,2,1
126.365700,0.034943,-1,2,1
126.365800,0.055542,-1,2,1
126.365900,0.057983,-1,2,1
126.366000,0.059204,-1,2,1
126.366100,0.057678,0,0,0
126.366200,0.054779,0,0,0
126.366300,0.058136,0,0,0
126.366400,0.055542,0,0,0
126.366500,0.055695,0,0,0
126.366600,0.050049,0,0,0
126.366700,0.039673,0,0,0
126.366800,0.044708,0,0,0
126.366900,0.051575,0,0,0
126.367000,0.051880,0,0,0
126.367100,0.051270,0,0,0
126.367200,0.052948,0,0,0
126.367300,0.048828,0,0,0
126.367400,0.052795,0,0,0
126.367500,0.055542,0,0,0
126.367600,0.051422,0,0,0
126.367700,0.052185,0,0,0
126.367800,0.049438,0,0,0
126.367900,0.052795,0,0,0
126.368000,0.055237,0,0,0
126.368100,0.055847,0,0,0
126.368200,0.064087,0,0,0
126.368300,0.069427,0,0,0
126.368400,0.080872,0,0,0
126.368500,0.090485,0,0,0
126.368600,0.090332,0,0,0
126.368700,0.104370,0,0,0
126.368800,0.104065,0,0,0
126.368900,0.114136,0,0,0
126.369000,0.116425,0,0,0
126.369100,0.112457,0,0,0
126.369200,0.102386,0,0,0
126.369300,0.098877,0,0,0
126.369400,0.094299,0,0,0
126.369500,0.087280,0,0,0
126.369600,0.092316,0,0,0
126.369700,0.092316,-1,0,-1
126.369800,0.106964,-1,0,-1
126.369900,0.114288,-1,0,-1
126.370000,0.131073,-1,0,-1
126.370100,0.144958,-1,0,-1
126.370200,0.134583,-1,0,-1
126.370300,0.130615,-1,0,-1
126.370400,0.113525,-1,0,-1
126.370500,0.112000,-1,0,-1
126.370600,0.102997,-1,0,-1
126.370700,0.092926,-1,0,-1
126.370800,0.082245,-1,0,-1
126.370900,0.065002,-1,0,-1
126.371000,0.036011,-1,0,-1
126.371100,0.027008,-1,0,-1
126.371200,0.022583,-1,0,-1
126.371300,0.035706,-1,0,-1
126.371400,0.050812,-1,0,-1
126.371500,0.080109,-1,0,-1
126.371600,0.107727,-1,0,-1
126.371700,0.143433,-1,0,-1
126.371800,0.162506,-1,0,-1
126.371900,0.163574,-1,0,-1
126.372000,0.151367,-1,0,-1
126.372100,0.127106,-1,0,-1
126.372200,0.097198,-1,0,-1
126.372300,0.067902,-1,0,-1
126.372400,0.046997,-1,0,-1
126.372500,0.022125,-1,0,-1
126.372600,-0.007324,-1,0,-1
126.372700,-0.035095,-1,0,-1
126.372800,-0.069122,-1,0,-1
126.372900,-0.104370,-1,0,-1
126.373000,-0.151825,-1,0,-1
126.373100,-0.189819,-1,0,-1
126.373200,-0.221405,-1,0,-1
126.373300,-0.251007,-1,0,-1
126.373400,-0.276337,-1,0,-1
126.373500,-0.298004,-1,0,-1
126.373600,-0.292053,-1,0,-1
126.373700,-0.271149,-1,0,-1
126.373800,-0.218964,-1,0,-1
126.373900,-0.150909,-1,0,-1
126.374000,-0.046234,-1,0,-1
126.374100,0.088043,-1,0,-1
126.374200,0.228577,-1,0,-1
126.374300,0.370789,-1,0,-1
126.374400,0.488586,-1,0,-1
126.374500,0.571289,-1,0,-1
